folder,file,capture_date,date_source,note
culinary,31-20181123-_DSC7887.jpg,2018-11-23 14:04:44,exif,"Red Kingdom Mizuna, Tatsoi, Cured Egg Yolk on Blue Corn Grits. Mangalica vinaigrette, crispy mangalica chips, sorghum, cucumber blossoms and cocoa nibs adorn this hearty yet healthy bowl of blue corn grits. Anson Mills Bluecorn corn grits with a bounty of greens from our garden and Mangalica."
culinary,33-20171005-IMG_9684-2.jpg,2017-10-05 16:59:25,exif,Juniper smoke.
culinary,34-20190830-IMG_9940.jpg,2019-08-30 13:36:50,exif,
culinary,37-IMG_0250.jpg,2019-10-31 12:32:24,exif,"pheasant rillette tart, keek foam, soubise, onion caramel, pickled pearl onions, charred cipollini, caramelized vidalia onionshydroponic mizuna, cress and purple mustard"
culinary,38-20190703-_DSC8378.jpg,2019-07-03 16:32:01,exif,
else,00-20190826-L9990124.jpg,2019-08-26 06:12:20,exif,
else,01-20190826-L9990211.jpg,2019-08-26 01:06:37,exif,
else,02-20190826-L9990214.jpg,2019-08-26 01:06:54,exif,
else,03-20190826-L9990108.jpg,2019-08-26 06:09:39,exif,
else,04-20190826-L9990159.jpg,2019-08-26 06:28:00,exif,
else,05-20190826-L9990138.jpg,2019-08-26 06:16:03,exif,
else,07-20190826-L9990227.jpg,2019-08-26 01:09:45,exif,
else,09-20190825-L9990038.jpg,2019-08-25 12:37:17,exif,
else,11-20190504-IMG_1145.jpg,2019-05-04 12:05:49,exif,
else,12-20190504-IMG_1144.jpg,2019-05-04 12:05:48,exif,
else,13-20190502-IMG_0921.jpg,2019-05-02 16:19:01,exif,
else,14-20190822-L9999988.jpg,2019-08-22 05:04:45,exif,
else,15-20190826-L9990095.jpg,2019-08-26 06:08:03,exif,
else,16-20190502-IMG_0906.jpg,2019-05-02 14:01:05,exif,
else,17-20190502-IMG_0925.jpg,2019-05-02 16:20:09,exif,
else,18-20190504-IMG_1002.jpg,2019-05-04 11:38:42,exif,
else,19-20190906-L9990737.jpg,2019-09-06 05:57:51,exif,
else,20-20190827-L9990300.jpg,2019-08-27 22:28:38,exif,
else,21-20190828-L9990303.jpg,2019-08-28 12:41:18,exif,
else,22-20190903-L9990526.jpg,2019-09-03 01:57:26,exif,
else,23-20190906-L9990737.jpg,2019-09-06 05:57:51,exif,
else,24-20190209-IMG_9908.jpg,2019-02-09 13:37:29,exif,
else,25-20190209-IMG_9909.jpg,2019-02-09 13:37:46,exif,
else,26-20190209-IMG_9886.jpg,2019-02-09 13:33:44,exif,
else,27-20190606-L9999125.jpg,2019-06-06 21:19:01,exif,
else,28-20190606-L9999103.jpg,2019-06-06 10:30:39,exif,
else,29-20080102-IMG_9801.jpg,2008-01-02 02:22:23,exif,
about,yinzhao.jpg,,unknown,
